name|gender|age|income|job|address|education|marriage|family_size|kids_num|login_date|login_time|stay_time|bounce_rate|active_degree|amount|trade_time|game_id|payment|risk|reputation|id
赵到道|女|15|0|学生|郑州|高中|未婚|4|0|2016-05-21|07:20:11|354|0.896878285758|0.339684202832|6|16:46:10|10001|QQ|无风险|中等|30
赵到稻|男|17|0|无业|佛山|高中|未婚|4|0|2016-10-10|03:20:18|602|0.0523033317455|0.219298662259|6|20:53:15|10001|支付宝|无风险|差|31
赵到得|男|15|0|学生|福州|高中|未婚|3|0|2016-10-20|17:54:25|238|0.0329724994285|0.299460168297|6|16:47:59|10001|微信|无风险|良|32
赵到德|女|18|0|无业|宁波|高中|未婚|4|0|2016-10-16|10:24:42|122|0.0491297955049|0.344361414893|6|14:08:50|10001|微信|低风险|优|33
赵到的|男|17|0|学生|上海|高中|未婚|3|0|2016-12-04|22:01:15|386|0.922589545693|0.106436698313|32|18:43:52|10001|支付宝|一般|良|34
赵到灯|男|17|0|学生|沈阳|高中|未婚|4|0|2016-10-23|21:44:57|578|0.966660699244|0.073185039986|6|10:34:33|10001|QQ|一般|良|35
赵到登|男|18|0|学生|武汉|高中|未婚|3|0|2016-09-14|10:53:17|574|0.940601727019|0.380597116016|6|19:05:17|10001|微信|一般|良|36
赵悼倒|男|18|0|学生|深圳|高中|未婚|3|0|2016-07-10|09:40:09|398|0.606002153357|0.211317031081|6|09:31:15|10001|支付宝|一般|良|37
赵悼蹈|男|16|0|学生|乌鲁木齐|高中|未婚|3|0|2016-03-19|14:21:52|742|0.821820512805|0.345937473336|38|21:05:13|10001|微信|一般|优|38
赵悼到|男|18|0|无业|上海|高中|未婚|3|0|2016-01-29|21:15:49|482|0.399646385592|0.232553988934|4|06:00:37|10001|微信|低风险|中等|39
赵悼悼|男|17|0|学生|佛山|高中|未婚|4|0|2016-12-20|07:43:55|542|0.632892727402|0.242861582664|4|11:56:53|10001|微信|无风险|优|40
赵悼盗|男|15|0|学生|杭州|高中|未婚|3|0|2016-03-26|06:12:02|174|0.682526216898|0.315585850157|4|05:36:20|10001|微信|无风险|良|41
赵悼道|男|18|0|无业|北京|高中|未婚|4|0|2016-04-29|17:24:06|714|0.755901088202|0.0888804608372|6|06:14:49|10001|QQ|低风险|优|42
赵悼稻|女|18|0|学生|深圳|高中|未婚|5|0|2016-12-29|11:48:42|318|0.380383827305|0.324288108817|6|04:12:25|10001|微信|无风险|优|43
赵悼得|男|18|0|学生|上海|高中|未婚|4|0|2016-06-01|15:48:47|634|0.151297072893|0.14357145365|14|14:33:07|10002|微信|无风险|优|44
赵悼德|男|17|0|学生|中山|高中|未婚|3|0|2016-06-15|03:15:54|690|0.630821181846|0.244410410221|4|05:35:34|10001|微信|无风险|优|45
赵悼的|女|18|0|无业|青岛|高中|未婚|4|0|2016-10-23|19:11:23|202|0.36458533957|0.021633760962|6|18:06:49|10001|支付宝|无风险|良|46
赵悼灯|男|18|0|无业|上海|高中|未婚|4|0|2016-08-29|05:16:22|606|0.242088914583|0.0896020113407|18|06:15:46|10001|微信|一般|优|47
赵悼登|女|18|0|学生|天津|高中|未婚|5|0|2016-12-25|18:05:04|206|0.568793786348|0.195898785187|2|14:02:28|10002|微信|无风险|良|48
赵盗倒|男|18|0|学生|佛山|高中|未婚|4|0|2016-01-16|06:07:45|430|0.268129272026|0.248365348742|6|11:05:58|10001|微信|无风险|优|49
赵盗蹈|男|17|0|学生|厦门|高中|未婚|3|0|2016-09-07|03:53:34|230|0.286551574809|0.0705273151492|6|14:09:24|10001|微信|无风险|优|50
赵盗到|男|18|0|学生|北京|高中|未婚|3|0|2016-11-22|02:36:33|414|0.601129004927|0.294124059489|44|14:02:11|10001|QQ|一般|差|51
赵盗悼|男|17|0|学生|杭州|高中|未婚|3|0|2016-01-21|06:36:42|474|0.789963402645|0.151649000055|48|06:32:33|10001|微信|无风险|良|52
赵盗盗|男|17|0|学生|上海|高中|未婚|3|0|2016-02-20|11:35:26|714|0.31615557185|0.264004249467|6|10:12:27|10001|QQ|低风险|优|53
赵盗道|男|17|0|无业|北京|高中|未婚|3|0|2016-01-08|11:07:47|590|0.0887500617489|0.184161369778|22|18:11:34|10001|微信|低风险|优|54
赵盗稻|男|17|0|学生|北京|高中|未婚|4|0|2016-02-27|05:31:52|6|0.0597359189875|0.274096487759|4|06:04:59|10001|QQ|低风险|良|55
赵盗得|男|17|0|学生|重庆|高中|未婚|3|0|2016-04-11|22:37:13|458|0.306182410443|0.043632413946|8|16:01:04|10001|微信|无风险|优|56
赵盗德|女|16|0|无业|武汉|高中|未婚|3|0|2016-04-23|14:50:43|482|0.249902942723|0.376543471866|4|17:33:14|10001|微信|无风险|优|57
赵盗的|女|15|0|学生|北京|高中|未婚|3|0|2016-04-21|05:33:58|466|0.199175973901|0.372697887677|6|05:26:28|10001|微信|无风险|优|58
赵盗灯|女|17|0|学生|上海|高中|未婚|3|0|2016-02-04|07:51:17|390|0.75019409763|0.0389680765645|4|11:23:28|10001|微信|无风险|良|59
赵盗登|女|17|0|学生|杭州|高中|未婚|3|0|2016-06-29|18:12:47|526|0.701947359675|0.237534407905|36|04:17:49|10001|微信|低风险|差|60
赵道倒|男|18|0|学生|北京|高中|未婚|3|0|2016-08-30|09:49:07|290|0.0486407116658|0.0851775223524|6|21:36:59|10001|微信|一般|优|61
赵道蹈|女|18|0|学生|北京|高中|未婚|3|0|2016-03-09|15:38:16|154|0.683003023487|0.196328502237|12|04:34:38|10001|微信|无风险|良|62
赵道到|女|17|0|学生|深圳|高中|未婚|3|0|2016-02-16|23:56:49|678|0.676016333033|0.352313128913|48|04:47:32|10001|支付宝|无风险|优|63
赵道悼|男|17|0|学生|厦门|高中|未婚|3|0|2016-10-25|10:32:50|346|0.611201567291|0.350105007426|4|09:27:28|10002|微信|无风险|中等|64
赵道盗|男|16|0|学生|上海|高中|未婚|3|0|2016-08-25|19:20:13|506|0.562561557729|0.268697679242|6|21:15:56|10001|支付宝|无风险|优|65
赵道道|女|18|0|无业|武汉|高中|未婚|3|0|2016-06-04|23:41:51|134|0.406587574766|0.307286861873|10|01:05:48|10001|支付宝|无风险|优|66
赵道稻|女|17|0|无业|杭州|高中|未婚|3|0|2016-12-20|22:01:15|438|0.182021933377|0.246223222783|4|14:11:01|10001|支付宝|无风险|良|67
赵道得|男|18|0|学生|北京|高中|未婚|4|0|2016-05-07|05:28:00|358|0.459458175614|0.20892465535|6|17:20:04|10001|支付宝|无风险|差|68
赵道德|男|18|0|学生|上海|高中|未婚|4|0|2016-04-04|05:14:35|238|0.0244149944992|0.12133758131|4|19:10:09|10001|支付宝|无风险|优|69
赵道的|男|16|0|学生|青岛|高中|未婚|3|0|2016-06-27|03:39:55|550|0.984465234486|0.224017591831|38|12:21:20|10001|微信|一般|良|70
赵道灯|男|18|0|学生|武汉|高中|未婚|3|0|2016-12-29|09:21:09|114|0.725003772059|0.0701139068599|12|03:43:41|10001|微信|无风险|差|71
赵道登|女|17|0|学生|天津|高中|未婚|3|0|2016-10-09|01:49:25|86|0.720652159542|0.168720568182|30|16:56:13|10001|微信|无风险|优|72
赵稻倒|男|16|0|学生|海口|高中|未婚|3|0|2016-04-03|22:20:45|110|0.93968629918|0.332383674665|4|07:33:02|10001|微信|无风险|优|73
赵稻蹈|女|16|0|学生|合肥|高中|未婚|3|0|2016-04-11|07:21:18|390|0.257342513343|0.151177491787|4|07:52:01|10001|微信|低风险|优|74
赵稻到|男|17|0|学生|杭州|高中|未婚|3|0|2016-10-14|17:43:21|554|0.0397105869215|0.175503349041|42|13:14:57|10001|微信|低风险|差|75
赵稻悼|男|17|0|无业|广州|高中|未婚|3|0|2016-08-20|09:46:26|270|0.253504748101|0.109184040173|6|05:07:47|10001|微信|低风险|良|76
赵稻盗|男|17|0|学生|北京|高中|未婚|3|0|2016-01-13|21:47:22|62|0.467621897842|0.0930929549811|28|03:12:01|10001|微信|无风险|优|77
赵稻道|男|17|0|学生|杭州|高中|未婚|3|0|2016-04-08|18:23:50|186|0.055428114979|0.330271063194|28|15:02:19|10001|微信|低风险|优|78
赵稻稻|男|17|0|无业|武汉|高中|未婚|4|0|2016-05-26|08:23:48|450|0.690270806547|0.318362135178|4|01:21:22|10001|微信|低风险|优|79
赵稻得|男|17|0|学生|济南|高中|未婚|3|0|2016-11-14|23:29:55|186|0.713288279535|0.167556681142|28|18:32:16|10001|微信|无风险|优|80
赵稻德|女|17|0|学生|上海|高中|未婚|3|0|2016-08-27|06:05:00|462|0.280065608525|0.0281408322076|16|21:49:21|10001|微信|无风险|良|81
赵稻的|男|18|0|学生|北京|高中|未婚|3|0|2016-02-07|04:35:08|218|0.263503708872|0.372466906725|48|10:02:20|10001|微信|无风险|良|82
赵稻灯|女|18|0|学生|广州|高中|未婚|5|0|2016-11-11|04:03:42|482|0.887524496719|0.345897806815|4|20:01:45|10001|微信|低风险|中等|83
赵稻登|男|16|0|学生|广州|高中|未婚|3|0|2016-11-17|04:18:30|442|0.909969699724|0.140271060475|20|02:53:04|10001|微信|一般|良|84
赵得倒|男|18|0|无业|深圳|高中|未婚|3|0|2016-11-06|00:17:38|374|0.19345657419|0.249057036193|4|17:19:33|10001|微信|低风险|优|85
赵得蹈|男|17|0|学生|杭州|高中|未婚|4|0|2016-11-28|03:44:05|554|0.824487665372|0.199071347546|28|01:32:06|10001|微信|低风险|优|86
赵得到|男|17|0|学生|天津|高中|未婚|3|0|2016-09-12|22:22:44|466|0.120775721687|0.106533586602|32|12:02:04|10001|微信|低风险|优|87
赵得悼|男|17|0|学生|广州|高中|未婚|3|0|2016-07-20|10:41:25|398|0.0222519094377|0.375748254938|6|06:45:01|10002|微信|无风险|差|88
赵得盗|女|15|0|学生|重庆|高中|未婚|3|0|2016-08-12|19:02:10|594|0.405946373009|0.23615873495|4|08:15:49|10001|微信|一般|良|89
赵得道|男|17|0|学生|攀枝花|高中|未婚|4|0|2016-04-29|00:39:19|454|0.0542195621436|0.347091275671|6|05:33:25|10001|微信|无风险|良|90
赵得稻|女|16|0|学生|乌鲁木齐|高中|未婚|3|0|2016-08-14|16:43:49|290|0.335499841438|0.0238090972719|32|11:29:54|10001|微信|低风险|优|91
赵得得|男|15|0|学生|广州|高中|未婚|3|0|2016-08-08|10:09:38|46|0.253339104306|0.269508534932|28|13:17:36|10001|微信|低风险|优|92
赵得德|男|17|0|学生|深圳|高中|未婚|3|0|2016-01-05|03:10:38|566|0.0158680781721|0.113082663649|4|19:59:03|10001|支付宝|无风险|差|93
赵得的|男|17|0|学生|昆明|高中|未婚|3|0|2016-08-14|22:52:57|438|0.370393981442|0.363218564967|36|23:35:28|10001|支付宝|无风险|差|94
赵得灯|男|16|0|学生|武汉|高中|未婚|3|0|2016-01-28|11:24:08|274|0.226180281042|0.21481965295|6|00:45:05|10001|微信|一般|良|95
赵得登|女|17|0|学生|武汉|高中|未婚|3|0|2016-03-12|11:26:06|530|0.591613265229|0.173211597942|48|10:38:56|10001|微信|无风险|优|96
赵德倒|男|17|0|学生|福州|高中|未婚|3|0|2016-07-10|14:33:42|462|0.360422399703|0.282971043408|50|02:13:27|10002|支付宝|无风险|良|97
赵德蹈|女|15|0|无业|济南|高中|未婚|4|0|2016-02-01|04:24:17|14|0.950364366585|0.0168759175689|6|18:35:10|10001|微信|无风险|良|98
赵德到|男|17|0|学生|北京|高中|未婚|5|0|2016-10-09|14:10:56|290|0.102171810332|0.259108377881|6|17:55:05|10001|支付宝|低风险|优|99
赵德悼|男|17|0|无业|广州|高中|未婚|3|0|2016-07-19|05:27:56|286|0.639157172361|0.0857389201665|6|13:07:49|10001|微信|低风险|差|100
赵德盗|男|21|2000|学生|沈阳|本科|未婚|3|0|2016-12-12|07:58:50|198|0.466311275941|0.310402052096|70|20:39:16|10001|QQ|一般|良|101
赵德道|男|21|2000|快递员|北京|本科|未婚|3|0|2016-09-16|13:36:59|406|0.253733472736|0.420505903178|94|20:07:38|10001|微信|低风险|良|102
赵德稻|男|23|2000|快递员|北京|大专|未婚|4|0|2016-08-12|21:00:10|506|0.797955855651|0.240145939956|72|09:21:18|10001|QQ|一般|良|103
赵德得|男|20|2600|快递员|北京|大专|未婚|3|0|2016-08-20|05:05:01|142|0.511927726044|0.451017306554|72|04:25:01|10001|QQ|低风险|良|104
赵德德|男|21|2000|快递员|上海|高中|未婚|4|0|2016-04-14|01:08:25|450|0.226620175942|0.252129652|26|13:21:40|10002|工商银行|低风险|中等|105
赵德的|男|21|2000|快递员|杭州|大专|未婚|3|0|2016-04-14|17:53:56|634|0.239830744519|0.459658284252|38|21:22:26|10001|QQ|一般|中等|106
赵德灯|男|21|2000|保安|广州|大专|未婚|3|0|2016-01-10|18:21:23|518|0.77666959971|0.523520969117|38|17:09:04|10002|工商银行|一般|优|107
赵德登|男|20|2000|售楼员|海口|本科|未婚|4|0|2016-08-11|15:23:12|362|0.0324193828304|0.355422322396|24|04:49:44|10001|微信|无风险|良|108
赵的倒|女|21|2000|农民|武汉|本科|未婚|3|0|2016-05-14|11:44:16|134|0.0899773914996|0.479353191846|54|10:37:34|10001|微信|低风险|中等|109
赵的蹈|女|19|2000|快递员|杭州|高中|未婚|3|0|2016-01-30|00:34:13|622|0.536519038101|0.446957155842|36|12:46:33|10002|微信|低风险|良|110
赵的到|女|22|2000|快递员|济南|大专|未婚|4|0|2016-09-30|11:29:32|74|0.401496033125|0.574684958458|74|09:34:21|10001|微信|低风险|极差|111
赵的悼|男|19|2000|快递员|北京|本科|已婚|3|0|2016-04-26|00:15:08|562|0.791009103963|0.484167452949|60|23:17:59|10002|工商银行|低风险|中等|112
赵的盗|女|19|2000|售楼员|武汉|本科|未婚|3|0|2016-02-12|09:06:46|210|0.500353039002|0.200425144209|16|19:42:02|10001|工商银行|一般|良|113
赵的道|男|21|2000|学生|厦门|大专|未婚|5|0|2016-03-26|07:31:50|642|0.886052483917|0.456134109738|54|13:00:38|10001|微信|高风险|良|114
赵的稻|女|19|2000|快递员|杭州|大专|未婚|3|0|2016-12-10|22:29:23|270|0.991662546587|0.583759939687|38|22:31:32|10001|微信|低风险|良|115
赵的得|男|21|2000|快递员|成都|本科|未婚|3|0|2016-05-29|08:16:02|290|0.431828530338|0.204721571101|78|06:06:25|10001|QQ|无风险|良|116
赵的德|女|20|2000|保安|日照|大专|未婚|5|0|2016-12-21|08:25:23|626|0.938616402211|0.583007532605|70|22:50:02|10001|QQ|高风险|优|117
赵的的|女|22|2000|快递员|广州|大专|未婚|3|0|2016-07-15|22:21:43|250|0.472814703405|0.217058858919|80|16:43:41|10001|QQ|一般|优|118
赵的灯|男|21|2000|快递员|武汉|大专|未婚|3|0|2016-01-28|15:10:36|370|0.931129133342|0.491624683356|76|17:51:20|10001|微信|一般|优|119
赵的登|男|22|2000|快递员|上海|大专|未婚|3|0|2016-08-28|06:14:58|398|0.743203321093|0.407724224678|98|09:48:50|10001|微信|低风险|良|120
赵灯倒|男|22|2000|安检员|上海|本科|未婚|4|0|2016-06-02|08:03:16|422|0.195480989322|0.384353912761|54|01:23:10|10002|QQ|无风险|良|121
赵灯蹈|女|21|3000|快递员|广州|大专|未婚|4|0|2016-09-02|17:04:12|134|0.666976066449|0.312274579811|56|01:28:23|10001|微信|一般|良|122
赵灯到|男|22|2000|学生|杭州|大专|未婚|3|0|2016-08-14|21:57:02|754|0.536690750852|0.379130962763|12|22:19:23|10002|微信|一般|良|123
赵灯悼|男|21|2000|快递员|开封|大专|未婚|4|0|2016-12-12|22:10:04|558|0.31176088109|0.224604810908|68|18:00:34|10001|QQ|高风险|优|124
赵灯盗|女|22|2000|快递员|海口|大专|未婚|3|0|2016-12-21|07:22:31|498|0.666577548186|0.465775997897|70|10:10:49|10001|工商银行|低风险|良|125
赵灯道|男|21|2000|快递员|上海|本科|未婚|3|0|2016-01-07|03:50:32|322|0.670089822385|0.348953106627|96|14:08:04|10001|QQ|无风险|优|126
赵灯稻|女|21|2000|快递员|杭州|本科|未婚|4|0|2016-01-15|02:27:31|506|0.474944732533|0.465938419443|24|21:06:14|10001|微信|一般|良|127
赵灯得|女|21|2000|快递员|北京|高中|未婚|3|0|2016-01-10|05:11:22|606|0.254516806997|0.450808263344|94|01:23:27|10001|微信|一般|差|128
赵灯德|男|22|2000|快递员|深圳|高中|未婚|5|0|2016-11-23|00:10:01|510|0.995262140159|0.35289099156|70|16:46:46|10001|支付宝|一般|差|129
赵灯的|男|20|2000|快递员|深圳|本科|未婚|3|0|2016-01-29|12:27:52|190|0.726743520867|0.560875348147|24|19:49:12|10001|支付宝|无风险|良|130
赵灯灯|男|21|2000|学生|开封|本科|未婚|4|0|2016-03-12|20:32:29|558|0.495334459564|0.515690008429|28|17:27:56|10002|支付宝|一般|优|131
赵灯登|男|21|2000|学生|杭州|高中|未婚|3|0|2016-08-10|17:14:40|450|0.505087726547|0.202109105123|74|02:40:21|10001|微信|一般|中等|132
赵登倒|女|20|2000|快递员|广州|大专|已婚|3|0|2016-05-28|02:41:46|246|0.237620144357|0.529417104755|76|05:49:41|10002|微信|一般|良|133
赵登蹈|男|20|2000|快递员|广州|大专|未婚|4|0|2016-07-11|12:08:27|294|0.421745354068|0.252993036881|30|06:17:52|10001|微信|低风险|良|134
赵登到|男|22|3200|快递员|武汉|高中|未婚|3|0|2016-05-21|07:02:41|526|0.0400570191448|0.217505013169|72|06:29:50|10001|支付宝|无风险|良|135
赵登悼|女|22|6000|快递员|北京|本科|未婚|5|0|2016-01-13|16:09:56|254|0.331248001227|0.460934660052|16|07:08:12|10001|QQ|无风险|良|136
赵登盗|男|19|6000|快递员|武汉|本科|未婚|3|0|2016-05-12|14:20:37|230|0.179684712964|0.351628473441|24|03:33:01|10002|QQ|高风险|差|137
赵登道|男|20|2000|快递员|海口|大专|未婚|4|0|2016-03-03|15:50:54|722|0.86530279574|0.504909585122|80|10:15:57|10001|微信|低风险|良|138
赵登稻|男|21|2000|快递员|广州|本科|未婚|3|0|2016-05-20|20:23:23|574|0.712375451056|0.321554175479|78|12:21:30|10002|微信|低风险|良|139
赵登得|女|21|2000|快递员|北京|大专|未婚|5|0|2016-08-25|22:16:48|694|0.0780376742068|0.228831671228|36|18:21:44|10001|微信|一般|中等|140
赵登德|男|22|2000|快递员|南宁|大专|未婚|3|0|2016-10-09|18:32:54|438|0.713412754107|0.503712950016|64|07:44:26|10002|QQ|一般|中等|141
赵登的|女|21|2000|快递员|杭州|大专|未婚|3|0|2016-09-23|14:11:12|434|0.406081362206|0.293904096027|14|13:41:00|10002|QQ|一般|良|142
赵登灯|男|23|2000|学生|上海|高中|已婚|4|0|2016-07-28|17:53:00|586|0.575515143683|0.516715837136|56|14:54:50|10001|支付宝|一般|中等|143
赵登登|女|20|2000|快递员|杭州|高中|未婚|4|0|2016-09-15|01:36:23|402|0.927463164054|0.560385197145|38|23:32:49|10001|微信|低风险|优|144
赵等倒|男|20|2000|学生|广州|大专|未婚|3|0|2016-10-08|06:40:02|354|0.771694926399|0.211235616085|38|11:27:26|10001|微信|无风险|优|145
赵等蹈|男|21|2000|快递员|北京|高中|未婚|3|0|2016-06-03|06:09:19|382|0.875479318433|0.563332859343|20|03:59:02|10001|工商银行|一般|良|146
赵等到|女|21|2000|快递员|成都|大专|未婚|5|0|2016-05-13|15:59:45|122|0.119596359371|0.334758020705|94|12:11:37|10001|支付宝|低风险|良|147
赵等悼|女|20|2000|快递员|武汉|高中|未婚|3|0|2016-02-21|15:56:31|334|0.846144964564|0.554697231764|26|20:30:30|10001|支付宝|低风险|良|148
赵等盗|男|22|2000|快递员|武汉|高中|未婚|3|0|2016-09-17|02:34:04|202|0.303266845812|0.21877353854|86|17:11:28|10001|微信|低风险|差|149
赵等道|男|19|2000|快递员|济南|大专|未婚|4|0|2016-09-10|08:06:08|130|0.851581429462|0.465531064436|96|22:14:51|10001|支付宝|一般|优|150
赵等稻|男|21|2000|快递员|广州|高中|未婚|4|0|2016-10-12|20:05:54|538|0.367153071983|0.301457837959|92|19:03:13|10001|微信|高风险|优|151
赵等得|男|21|2000|快递员|广州|本科|未婚|3|0|2016-05-06|17:48:18|486|0.127903504941|0.307391344222|20|10:37:41|10001|QQ|无风险|优|152
赵等德|男|20|2000|快递员|合肥|高中|未婚|3|0|2016-08-02|19:14:14|622|0.974221520637|0.346219109029|16|05:21:47|10001|微信|一般|良|153
赵等的|男|21|2000|快递员|杭州|大专|未婚|4|0|2016-11-13|20:17:31|42|0.724451501035|0.545043892557|72|05:47:30|10002|QQ|一般|优|154
赵等灯|男|20|2000|快递员|北京|大专|未婚|3|0|2016-08-19|07:42:16|362|0.678365771872|0.457458558835|14|08:15:19|10001|微信|无风险|差|155
赵等登|男|22|5600|快递员|杭州|高中|未婚|3|0|2016-02-16|03:57:34|542|0.528108321022|0.339163205154|52|21:42:23|10002|微信|一般|良|156
赵凳倒|男|21|2000|快递员|乌鲁木齐|大专|未婚|3|0|2016-12-12|21:16:26|294|0.309902841131|0.383095476686|16|15:39:23|10001|微信|一般|良|157
赵凳蹈|男|19|2000|快递员|南宁|大专|未婚|3|0|2016-09-03|08:11:13|254|0.733496586755|0.201923981049|26|15:18:35|10001|工商银行|一般|差|158
赵凳到|男|22|2000|快递员|成都|大专|未婚|3|0|2016-08-11|00:02:59|718|0.039553318665|0.425114578423|42|21:05:44|10001|QQ|低风险|良|159
赵凳悼|男|21|2000|快递员|北京|大专|未婚|4|0|2016-03-15|19:57:03|354|0.781963323864|0.37983444202|32|11:33:31|10001|QQ|低风险|差|160
赵凳盗|女|21|2000|快递员|开封|本科|未婚|3|0|2016-02-07|16:18:08|534|0.314091528446|0.31360511433|48|18:32:32|10001|支付宝|无风险|优|161
赵凳道|男|23|2000|快递员|杭州|本科|未婚|4|0|2016-10-30|17:12:30|278|0.485533224315|0.596437858854|42|10:54:08|10001|支付宝|低风险|良|162
赵凳稻|女|20|2000|快递员|北京|本科|未婚|3|0|2016-08-30|14:15:10|450|0.160154526263|0.339723003188|86|13:33:03|10002|QQ|一般|中等|163
赵凳得|男|21|2000|学生|武汉|本科|未婚|4|0|2016-03-23|08:48:29|378|0.64553676165|0.370217131138|30|04:30:44|10002|支付宝|低风险|差|164
赵凳德|男|21|2000|快递员|北京|本科|已婚|4|0|2016-08-26|08:43:10|206|0.366801086767|0.278270001166|86|16:40:06|10001|微信|一般|优|165
赵凳的|男|23|2000|保安|杭州|大专|未婚|4|0|2016-05-03|17:28:17|238|0.73500089854|0.408345817755|84|14:11:16|10001|支付宝|一般|良|166
赵凳灯|男|20|5000|快递员|北京|大专|未婚|3|0|2016-04-07|20:19:59|258|0.716463598776|0.43694019839|64|14:11:13|10001|微信|一般|优|167
赵凳登|女|20|2000|快递员|深圳|大专|未婚|5|0|2016-01-27|07:38:23|110|0.145080845644|0.2810693341|64|08:47:38|10001|支付宝|一般|优|168
